 ----- starting epoch 0 , batchsize=8
    batch 0 has loss 57.279503
    batch 1 has loss 53.487564
    batch 2 has loss 41.308781
    batch 3 has loss 32.431034
    batch 4 has loss 26.160954
    batch 5 has loss 23.123594
    batch 6 has loss 21.842033
    batch 7 has loss 17.992729
    batch 8 has loss 15.097260
    batch 9 has loss 14.140552
    batch 10 has loss 12.586946
    batch 11 has loss 12.337316
    batch 12 has loss 10.615770
    batch 13 has loss 9.336948
    batch 14 has loss 8.234698
    batch 15 has loss 8.036444
    batch 16 has loss 7.978278
    batch 17 has loss 6.911192
    batch 18 has loss 6.078959
    batch 19 has loss 5.770132
    batch 20 has loss 5.463892
    batch 21 has loss 4.950143
    batch 22 has loss 4.791036
    batch 23 has loss 4.540978
    batch 24 has loss 4.228252
    batch 25 has loss 3.653012
    batch 26 has loss 3.363693
    batch 27 has loss 3.385237
    batch 28 has loss 3.133874
    batch 29 has loss 3.222791
    batch 30 has loss 2.792602
    batch 31 has loss 2.911488
    batch 32 has loss 2.687624
    batch 33 has loss 2.415604
    batch 34 has loss 2.581838
    batch 35 has loss 2.702631
    batch 36 has loss 2.208383
  epoch 0 finished with loss 12.156318
 ----- starting epoch 1 , batchsize=8
    batch 0 has loss 2.217907
    batch 1 has loss 2.183549
    batch 2 has loss 1.987123
    batch 3 has loss 1.972771
    batch 4 has loss 1.870353
    batch 5 has loss 1.932727
    batch 6 has loss 1.884358
    batch 7 has loss 1.908252
    batch 8 has loss 1.748416
    batch 9 has loss 1.630458
    batch 10 has loss 1.675797
    batch 11 has loss 1.655203
    batch 12 has loss 1.619594
    batch 13 has loss 1.531673
    batch 14 has loss 1.667764
    batch 15 has loss 1.549407
    batch 16 has loss 1.510599
    batch 17 has loss 1.539222
    batch 18 has loss 1.435104
    batch 19 has loss 1.311681
    batch 20 has loss 1.495474
    batch 21 has loss 1.391135
    batch 22 has loss 1.263889
    batch 23 has loss 1.356115
    batch 24 has loss 1.435640
    batch 25 has loss 1.258993
    batch 26 has loss 1.216840
    batch 27 has loss 1.218169
    batch 28 has loss 1.210755
    batch 29 has loss 1.192359
    batch 30 has loss 1.168490
    batch 31 has loss 1.240785
    batch 32 has loss 1.145455
    batch 33 has loss 1.189754
    batch 34 has loss 1.166093
    batch 35 has loss 1.151107
    batch 36 has loss 1.195402
  epoch 1 finished with loss 1.516984
----- starting epoch 2 , batchsize=8
    batch 0 has loss 1.118510
    batch 1 has loss 1.127948
    batch 2 has loss 1.146919
    batch 3 has loss 1.079229
    batch 4 has loss 1.118532
    batch 5 has loss 1.002158
    batch 6 has loss 1.041571
    batch 7 has loss 1.068449
    batch 8 has loss 1.004686
    batch 9 has loss 1.041828
    batch 10 has loss 0.991138
    batch 11 has loss 1.096066
    batch 12 has loss 1.010623
    batch 13 has loss 1.024482
    batch 14 has loss 1.002101
    batch 15 has loss 0.994667
    batch 16 has loss 0.995752
    batch 17 has loss 0.958252
    batch 18 has loss 0.959831
    batch 19 has loss 0.959992
    batch 20 has loss 0.935878
    batch 21 has loss 0.969110
    batch 22 has loss 0.974554
    batch 23 has loss 0.900308
    batch 24 has loss 0.908376
    batch 25 has loss 0.940535
    batch 26 has loss 0.914500
    batch 27 has loss 0.922169
    batch 28 has loss 0.892954
    batch 29 has loss 0.882585
    batch 30 has loss 0.902896
    batch 31 has loss 0.920039
    batch 32 has loss 0.921603
    batch 33 has loss 0.874537
    batch 34 has loss 0.921579
    batch 35 has loss 0.905171
    batch 36 has loss 0.878803
  epoch 2 finished with loss 0.981306
    batch 0 has loss 0.879069
    batch 1 has loss 0.916565
    batch 2 has loss 0.876562
    batch 3 has loss 0.891223
    batch 4 has loss 0.863269
    batch 5 has loss 0.866112
    batch 6 has loss 0.839104
    batch 7 has loss 0.840911
    batch 8 has loss 0.865393
    batch 9 has loss 0.838013
    batch 10 has loss 0.870467
    batch 11 has loss 0.833862
    batch 12 has loss 0.827802
    batch 13 has loss 0.838823
    batch 14 has loss 0.853889
    batch 15 has loss 0.849954
    batch 16 has loss 0.830614
    batch 17 has loss 0.819400
    batch 18 has loss 0.821315
    batch 19 has loss 0.803308
    batch 20 has loss 0.849059
    batch 21 has loss 0.843598
    batch 22 has loss 0.794900
    batch 23 has loss 0.815565
    batch 24 has loss 0.829030
