~~~~logits~~~~
Tensor("logits:0", shape=(?, 2), dtype=float32)
----labels----
Tensor("labels:0", shape=(?, 2), dtype=float32)
_________
 ----- starting epoch 0 , batchsize=6
    batch 0 has loss 0.693573
    batch 1 has loss 0.691190
    batch 2 has loss 0.678210
    batch 3 has loss 0.661055
    batch 4 has loss 0.631261
    batch 5 has loss 0.569362
    batch 6 has loss 0.553007
    batch 7 has loss 0.509072
    batch 8 has loss 0.563492
    batch 9 has loss 0.473346
    batch 10 has loss 0.475493
    batch 11 has loss 0.471105
    batch 12 has loss 0.478050
    batch 13 has loss 0.490229
    batch 14 has loss 0.464268
    batch 15 has loss 0.472609
    batch 16 has loss 0.478028
    batch 17 has loss 0.460006
    batch 18 has loss 0.428872
    batch 19 has loss 0.427098
    batch 20 has loss 0.422923
    batch 21 has loss 0.385811
    batch 22 has loss 0.420455
    batch 23 has loss 0.495959
    batch 24 has loss 0.465866
    batch 25 has loss 0.396071
    batch 26 has loss 0.449364
    batch 27 has loss 0.397153
    batch 28 has loss 0.391154
    batch 29 has loss 0.385733
    batch 30 has loss 0.441053
    batch 31 has loss 0.359684
    batch 32 has loss 0.389208
    batch 33 has loss 0.358007
    batch 34 has loss 0.366745
    batch 35 has loss 0.328942
    batch 36 has loss 0.395512
    batch 37 has loss 0.353772
    batch 38 has loss 0.334647
    batch 39 has loss 0.326037
    batch 40 has loss 0.349970
    batch 41 has loss 0.274462
    batch 42 has loss 0.299279
    batch 43 has loss 0.343784
    batch 44 has loss 0.312012
    batch 45 has loss 0.352855
    batch 46 has loss 0.342753
    batch 47 has loss 0.278804
    batch 48 has loss 0.302828
  epoch 0 finished with loss 0.436534
 ----- starting epoch 1 , batchsize=6
    batch 0 has loss 0.284458
    batch 1 has loss 0.249858
    batch 2 has loss 0.246468
    batch 3 has loss 0.246135
    batch 4 has loss 0.350514
    batch 5 has loss 0.238381
    batch 6 has loss 0.223833
    batch 7 has loss 0.329994
    batch 8 has loss 0.256479
    batch 9 has loss 0.245123
    batch 10 has loss 0.234362
    batch 11 has loss 0.266116
    batch 12 has loss 0.243540
    batch 13 has loss 0.219152
    batch 14 has loss 0.247182
    batch 15 has loss 0.240371
    batch 16 has loss 0.263147
    batch 17 has loss 0.290578
    batch 18 has loss 0.225210
    batch 19 has loss 0.227397
    batch 20 has loss 0.255367
    batch 21 has loss 0.257521
    batch 22 has loss 0.233137
    batch 23 has loss 0.189668
    batch 24 has loss 0.206183
    batch 25 has loss 0.236421
    batch 26 has loss 0.232761
    batch 27 has loss 0.269105
    batch 28 has loss 0.207574
    batch 29 has loss 0.270196
    batch 30 has loss 0.251746
    batch 31 has loss 0.223053
    batch 32 has loss 0.231753
    batch 33 has loss 0.213531
    batch 34 has loss 0.214858
    batch 35 has loss 0.217215
    batch 36 has loss 0.221801
    batch 37 has loss 0.231385
    batch 38 has loss 0.186801
    batch 39 has loss 0.198025
    batch 40 has loss 0.199666
    batch 41 has loss 0.241035
    batch 42 has loss 0.189452
    batch 43 has loss 0.199150
    batch 44 has loss 0.255774
    batch 45 has loss 0.195414
    batch 46 has loss 0.179408
    batch 47 has loss 0.215492
    batch 48 has loss 0.246567
  epoch 1 finished with loss 0.236701
 ----- starting epoch 2 , batchsize=6
    batch 0 has loss 0.227023
    batch 1 has loss 0.226156
    batch 2 has loss 0.226033
    batch 3 has loss 0.204312
    batch 4 has loss 0.224049
    batch 5 has loss 0.201768
    batch 6 has loss 0.230554
    batch 7 has loss 0.226353
    batch 8 has loss 0.202601
    batch 9 has loss 0.188422
    batch 10 has loss 0.200900
    batch 11 has loss 0.211893
    batch 12 has loss 0.218852
    batch 13 has loss 0.188544
    batch 14 has loss 0.268737
    batch 15 has loss 0.183291
    batch 16 has loss 0.188388
    batch 17 has loss 0.187458
    batch 18 has loss 0.229286
    batch 19 has loss 0.175936
    batch 20 has loss 0.171935
    batch 21 has loss 0.146801
    batch 22 has loss 0.156189
    batch 23 has loss 0.211161
    batch 24 has loss 0.204844
    batch 25 has loss 0.154825
    batch 26 has loss 0.175539
    batch 27 has loss 0.186894
    batch 28 has loss 0.222283
    batch 29 has loss 0.183703
    batch 30 has loss 0.163175
    batch 31 has loss 0.223297
    batch 32 has loss 0.165388
    batch 33 has loss 0.149725
    batch 34 has loss 0.150347
    batch 35 has loss 0.217294
    batch 36 has loss 0.212126
    batch 37 has loss 0.194779
    batch 38 has loss 0.190459
    batch 39 has loss 0.158688
    batch 40 has loss 0.225823
    batch 41 has loss 0.162633
    batch 42 has loss 0.166049
    batch 43 has loss 0.186103
    batch 44 has loss 0.172603
    batch 45 has loss 0.172493
    batch 46 has loss 0.175903
    batch 47 has loss 0.130529
    batch 48 has loss 0.118177
  epoch 2 finished with loss 0.191027
 ----- starting epoch 3 , batchsize=6
    batch 0 has loss 0.194533
    batch 1 has loss 0.218634
    batch 2 has loss 0.162293
    batch 3 has loss 0.140715
    batch 4 has loss 0.191894
    batch 5 has loss 0.154673
    batch 6 has loss 0.192839
    batch 7 has loss 0.150407
    batch 8 has loss 0.167875
    batch 9 has loss 0.146332
    batch 10 has loss 0.220757
    batch 11 has loss 0.155518
    batch 12 has loss 0.192889
    batch 13 has loss 0.212942
    batch 14 has loss 0.170678
    batch 15 has loss 0.192188
    batch 16 has loss 0.171974
    batch 17 has loss 0.150090
    batch 18 has loss 0.135630
    batch 19 has loss 0.163258
    batch 20 has loss 0.171852
    batch 21 has loss 0.170104
    batch 22 has loss 0.135987
    batch 23 has loss 0.227085
    batch 24 has loss 0.209105
    batch 25 has loss 0.208440
    batch 26 has loss 0.173135
    batch 27 has loss 0.205751
    batch 28 has loss 0.208013
    batch 29 has loss 0.204363
    batch 30 has loss 0.217251
    batch 31 has loss 0.202504
    batch 32 has loss 0.160692
    batch 33 has loss 0.211247
    batch 34 has loss 0.157344
    batch 35 has loss 0.169759
    batch 36 has loss 0.188671
    batch 37 has loss 0.227651
    batch 38 has loss 0.137986
    batch 39 has loss 0.125512
    batch 40 has loss 0.140159
    batch 41 has loss 0.229688
    batch 42 has loss 0.170968
    batch 43 has loss 0.176925
    batch 44 has loss 0.166150
    batch 45 has loss 0.184497
    batch 46 has loss 0.160487
    batch 47 has loss 0.153090
    batch 48 has loss 0.102409
  epoch 3 finished with loss 0.177203
 ----- starting epoch 4 , batchsize=6
    batch 0 has loss 0.294230
    batch 1 has loss 0.141997
    batch 2 has loss 0.117470
    batch 3 has loss 0.252567
    batch 4 has loss 0.133437
    batch 5 has loss 0.195981
    batch 6 has loss 0.132203
    batch 7 has loss 0.171089
    batch 8 has loss 0.150713
    batch 9 has loss 0.152524
    batch 10 has loss 0.206548
    batch 11 has loss 0.171422
    batch 12 has loss 0.117244
    batch 13 has loss 0.131265
    batch 14 has loss 0.184787
    batch 15 has loss 0.114638
    batch 16 has loss 0.119521
    batch 17 has loss 0.134906
    batch 18 has loss 0.171311
    batch 19 has loss 0.143082
    batch 20 has loss 0.153304
    batch 21 has loss 0.117049
    batch 22 has loss 0.144424
    batch 23 has loss 0.146847
    batch 24 has loss 0.224809
    batch 25 has loss 0.157158
    batch 26 has loss 0.120277
    batch 27 has loss 0.133103
    batch 28 has loss 0.140821
    batch 29 has loss 0.123638
    batch 30 has loss 0.155455
    batch 31 has loss 0.156210
    batch 32 has loss 0.111813
    batch 33 has loss 0.170904
    batch 34 has loss 0.157510
    batch 35 has loss 0.156333
    batch 36 has loss 0.132836
    batch 37 has loss 0.142814
    batch 38 has loss 0.191198
    batch 39 has loss 0.184783
    batch 40 has loss 0.162907
    batch 41 has loss 0.175518
    batch 42 has loss 0.154014
    batch 43 has loss 0.130031
    batch 44 has loss 0.136825
    batch 45 has loss 0.105291
    batch 46 has loss 0.118835
    batch 47 has loss 0.122164
    batch 48 has loss 0.090998
  epoch 4 finished with loss 0.152139
 ----- starting epoch 5 , batchsize=6
    batch 0 has loss 0.220683
    batch 1 has loss 0.143817
    batch 2 has loss 0.197883
    batch 3 has loss 0.120014
    batch 4 has loss 0.151063
    batch 5 has loss 0.157732
    batch 6 has loss 0.151360
    batch 7 has loss 0.185875
    batch 8 has loss 0.129724
    batch 9 has loss 0.127204
    batch 10 has loss 0.136066
    batch 11 has loss 0.146386
    batch 12 has loss 0.143460
    batch 13 has loss 0.132888
    batch 14 has loss 0.140372
    batch 15 has loss 0.168161
    batch 16 has loss 0.168428
    batch 17 has loss 0.121525
    batch 18 has loss 0.132107
    batch 19 has loss 0.138564
    batch 20 has loss 0.141365
    batch 21 has loss 0.097678
    batch 22 has loss 0.127914
    batch 23 has loss 0.111910
    batch 24 has loss 0.150652
    batch 25 has loss 0.139180
    batch 26 has loss 0.123060
    batch 27 has loss 0.144251
    batch 28 has loss 0.126965
    batch 29 has loss 0.151406
    batch 30 has loss 0.114248
    batch 31 has loss 0.119317
    batch 32 has loss 0.110283
    batch 33 has loss 0.126034
    batch 34 has loss 0.099115
    batch 35 has loss 0.134970
    batch 36 has loss 0.123985
    batch 37 has loss 0.130461
    batch 38 has loss 0.106432
    batch 39 has loss 0.106782
    batch 40 has loss 0.196111
    batch 41 has loss 0.159707
    batch 42 has loss 0.120381
    batch 43 has loss 0.118861
    batch 44 has loss 0.136406
    batch 45 has loss 0.215283
    batch 46 has loss 0.160770
    batch 47 has loss 0.142447
    batch 48 has loss 0.087678
  epoch 5 finished with loss 0.139530
 ----- starting epoch 6 , batchsize=6
    batch 0 has loss 0.124440
    batch 1 has loss 0.129967
    batch 2 has loss 0.120731
    batch 3 has loss 0.133909
    batch 4 has loss 0.107463
    batch 5 has loss 0.077124
    batch 6 has loss 0.133056
    batch 7 has loss 0.144609
    batch 8 has loss 0.101476
    batch 9 has loss 0.142251
    batch 10 has loss 0.124774
    batch 11 has loss 0.101726
    batch 12 has loss 0.115954
    batch 13 has loss 0.107418
    batch 14 has loss 0.116167
    batch 15 has loss 0.114758
    batch 16 has loss 0.116489
